emoji,english,category,subcategory,hebrew_masculine,translit_masculine,hebrew_feminine,translit_feminine
🍌,Banana,Food,Fruit,,,בָּנָנָה,banana
🍉,Watermelon,Food,Fruit,אֲבַטִּיחַ,avatiyach,,
🍇,Grapes,Food,Fruit,עֲנָבִים,anavim,,
🍓,Strawberry,Food,Fruit,תּוּת,tut,,
🫐,Blueberries,Food,Fruit,,,אֻכְמָנִיּוֹת,uchmaniyot
🍈,Melon,Food,Fruit,מֵלוֹן,melon,,
🍒,Cherries,Food,Fruit,דֻּבְדְּבָנִים,duvdvanim,,
🍑,Peach,Food,Fruit,אֲפַרְסֵק,afarsek,,
🥭,Mango,Food,Fruit,מַנְגּוֹ,mango,,
🍍,Pineapple,Food,Fruit,אֲנָנָס,ananas,,
🥥,Coconut,Food,Fruit,קוֹקוּס,kokus,,
🥝,Kiwi,Food,Fruit,קִיוִוי,kivivy,,
🍅,Tomato,Food,Vegetable,,,עַגְבָנִיָּה,agvaniya
🫒,Olive,Food,Vegetable,זַיִת,zayit,,
🥑,Avocado,Food,Vegetable,אֲבוֹקָדוֹ,avokado,,
🍆,Eggplant,Food,Vegetable,חָצִיל,chatzil,,
🥔,Potato,Food,Vegetable,תַּפּוּחַ אֲדָמָה,tapuach adama,,
🥕,Carrot,Food,Vegetable,גֶּזֶר,gezer,,
🌽,Corn,Food,Vegetable,תִּירָס,tiras,,
🌶️,Hot Pepper,Food,Vegetable,פִּלְפֵּל חָרִיף,pilpel charif,,
🫑,Bell Pepper,Food,Vegetable,פִּלְפֵּל,pilpel,,
🥒,Cucumber,Food,Vegetable,מְלָפְפוֹן,melaffon,,
🥬,Lettuce,Food,Vegetable,,,חַסָּה,chasa
🥦,Broccoli,Food,Vegetable,בְּרוֹקוֹלִי,berokoli,,
🧄,Garlic,Food,Vegetable,שׁוּם,shum,,
🧅,Onion,Food,Vegetable,בָּצָל,batzal,,
🍄,Mushroom,Food,Vegetable,,,פִּטְרִיָּה,pitriya
🥜,Peanut,Food,Vegetable,בּוֹטֶן,boten,,
🌰,Chestnut,Food,Vegetable,עַרְמוֹן,armon,,
🍞,Bread,Food,Dish,לֶחֶם,lechem,,
🥖,Baguette,Food,Dish,בָּגֵט,baget,,
🥨,Pretzel,Food,Dish,בֵּיגֶלֶה,beigele,,
🥯,Bagel,Food,Dish,בֵּיגֶל,beigel,,
🥞,Pancakes,Food,Dish,,,חֲבִיתִיּוֹת,chavitiyot
🧇,Waffle,Food,Dish,וָאפֶל,vafel,,
🧀,Cheese,Food,Dish,,,גְּבִינָה,gevina
🥚,Egg,Food,Other,,,בֵּיצָה,beytza
🍳,Fried Egg,Food,Other,,,בֵּיצָה מְטֻגֶּנֶת,beytza metugenet
🥓,Bacon,Food,Dish,בֵּקוֹן,bekon,,
🍔,Hamburger,Food,Dish,הַמְבּוּרְגֶּר,hamburger,,
🍟,Fries,Food,Dish,צִ'יפְּס,tzi'yps,,
🍕,Pizza,Food,Dish,,,פִּיצָה,pitza
🌭,Hot Dog,Food,Dish,,,נַקְנִיקִיָּה,naknikiya
🥪,Sandwich,Food,Dish,כָּרִיךְ,karich,,
🌮,Taco,Food,Dish,טָאקוֹ,tako,,
🌯,Burrito,Food,Dish,בּוּרִיטוֹ,burito,,
🥙,Pita,Food,Dish,,,פִּיתָה,pita
🧆,Falafel,Food,Dish,פָלָאפֶל,palafel,,
🍝,Pasta,Food,Dish,,,פַּסְטָה,pasta
🍜,Ramen,Food,Dish,רָאמֶן,ramen,,
🍲,Stew,Food,Dish,תַּבְשִׁיל,tavshil,,
🍣,Sushi,Food,Dish,סוּשִׁי,sushi,,
🥟,Dumpling,Food,Dish,כִּיסָן,kisan,,
🦪,Oyster,Animal,Sea Creature,,,צִדְפָּה,tzidpa
🍦,Ice Cream,Food,Sweet,,,גְּלִידָה,gelida
🍰,Cake,Food,Sweet,,,עוּגָה,uga
🎂,Birthday Cake,Food,Sweet,,,עוּגַת יוֹם הֻלֶּדֶת,ugat yom huledet
🧁,Cupcake,Food,Sweet,,,קָאפְּקֵייק,kapkeyyk
🍪,Cookie,Food,Sweet,,,עוּגִיָּה,ugiya
🍫,Chocolate,Food,Sweet,שׁוֹקוֹלָד,shokolad,,
🍬,Candy,Food,Sweet,,,סֻכָּרִיָּה,sukariya
🍭,Lollipop,Food,Sweet,,,סֻכָּרִיָּה עַל מַקֵּל,sukariya al makel
🍩,Donut,Food,Sweet,,,סֻפְגָּנִיָּה,sufganiya
🍯,Honey,Food,Other,דְּבַשׁ,devash,,
🍿,Popcorn,Food,Dish,פּוֹפְּקוֹרְן,popkorn,,
🧈,Butter,Food,Other,,,חֶמְאָה,chema
🧂,Salt,Food,Other,מֶלַח,melach,,
🥛,Milk,Food,Drink,חָלָב,chalav,,
☕,Coffee,Food,Drink,קָפֶה,kafe,,
🍵,Tea,Food,Drink,תֵּה,te,,
🧃,Juice Box,Food,Drink,מִיץ,mitz,,
🥤,Soft Drink,Food,Drink,מַשְׁקֶה קַל,mashke kal,,
🍷,Wine,Food,Drink,יַיִן,yayin,,
🍺,Beer,Food,Drink,,,בִּירָה,bira
🥂,Champagne,Food,Drink,,,שַׁמְפַּנְיָה,shampanya
🧊,Ice,Nature,Weather,קֶרַח,kerach,,
☀️,Sun,Nature,Astronomy,,,שֶׁמֶשׁ,shemesh
🌙,Moon,Nature,Astronomy,יָרֵחַ,yareach,לְבָנָה,levana
⭐,Star,Nature,Astronomy,כּוֹכָב,kochav,,
☁️,Cloud,Nature,Weather,עָנָן,anan,,
🌧️,Rain Cloud,Nature,Weather,גֶּשֶׁם,geshem,,
⛈️,Thunderstorm,Nature,Weather,,,סְעָרָה,seara
🌩️,Lightning,Nature,Weather,בָּרָק,barak,,
⛄,Snowman,Nature,Weather,אִישׁ שֶׁלֶג,ish sheleg,,
🌈,Rainbow,Nature,Weather,,,קֶשֶׁת,keshet
💧,Drop,Nature,Weather,,,טִפָּה,tipa
🌊,Wave,Nature,Landscape,גַּל,gal,,
🌪️,Tornado,Nature,Weather,טוֹרְנָדוֹ,tornado,,
🌫️,Fog,Nature,Weather,עֲרָפֶל,arafel,,
🌬️,Wind,Nature,Weather,רוּחַ,ruach,,
🌷,Tulip,Plant,Flower,צִבְעוֹנִי,tzivoni,,
🌹,Rose,Plant,Flower,וֶרֶד,vered,,
🌻,Sunflower,Plant,Flower,,,חַמָּנִית,chamanit
🌼,Daisy,Plant,Flower,,,חִנָּנִית,chinanit
🌸,Cherry Blossom,Plant,Flower,,,פְּרִיחַת הַדֻּבְדְּבָן,perichat haduvdvan
🍀,Clover,Plant,Other,תִּלְתָּן,tiltan,,
🌿,Herb,Plant,Other,עֵשֶׂב,esev,,
🍃,Leaves,Plant,Other,עָלִים,alim,,
🍂,Fallen Leaves,Plant,Other,עָלִים נוֹשְׁרִים,alim noshrim,,
🌱,Seedling,Plant,Other,שְׁתִיל,shetil,,
👁️,Eye,Person,Body,,,עַיִן,ayin
👀,Eyes,Person,Body,,,עֵינַיִם,eynayim
👃,Nose,Person,Body,אַף,af,,
👄,Mouth,Person,Body,פֶּה,pe,,
👂,Ear,Person,Body,,,אוֹזֶן,ozen
🦷,Tooth,Person,Body,,,שֵׁן,shen
👅,Tongue,Person,Body,,,לָשׁוֹן,lashon
🧠,Brain,Person,Body,מוֹחַ,moach,,
🦴,Bone,Person,Body,,,עֶצֶם,etzem
🫀,Heart,Person,Body,לֵב,lev,,
🫁,Lungs,Person,Body,,,רֵאוֹת,reot
💪,Arm,Person,Body,,,זְרוֹעַ,zeroa
✋,Hand,Person,Body,,,יָד,yad
🦶,Foot,Person,Body,,,רֶגֶל,regel
🦵,Leg,Person,Body,,,רֶגֶל,regel
👨,Man,Person,Person,אִישׁ,ish,,
👩,Woman,Person,Person,,,אִשָּׁה,isha
👦,Boy,Person,Person,יֶלֶד,yeled,,
👧,Girl,Person,Person,,,יַלְדָּה,yalda
👶,Baby,Person,Person,תִּינוֹק,tinok,תִּינוֹקֶת,tinoket
🧒,Child,Person,Person,יֶלֶד,yeled,יַלְדָּה,yalda
🧑,Person,Person,Person,אָדָם,adam,,
👴,Old Man,Person,Person,,,זָקֵן,zaken
👵,Old Woman,Person,Person,,,זְקֵנָה,zekena
👨‍🦰,Red-haired Man,Person,Person,גִּ'ינְגִ'י,jinji,,
👩‍🦰,Red-haired Woman,Person,Person,,,גִּ'ינְגִ'ית,jinjit
👨‍🦱,Curly-haired Man,Person,Person,מְתֻלְתָּל,metultal,,
👩‍🦱,Curly-haired Woman,Person,Person,,,מְתֻלְתֶּלֶת,metultelet
👨‍🦳,White-haired Man,Person,Person,שֵׂיבָה,seyva,,
👨‍🦲,Bald Man,Person,Person,קֵרֵחַ,kereach,,
🧔,Bearded Person,Person,Person,מְזֻקָּן,mezukan,,
👮,Police Officer,Person,Profession,שׁוֹטֵר,shoter,שׁוֹטֶרֶת,shoteret
👷,Construction Worker,Person,Profession,פּוֹעֵל בִּנְיָן,poel binyan,פּוֹעֶלֶת בִּנְיָן,poelet binyan
💂,Guard,Person,Profession,שׁוֹמֵר,shomer,שׁוֹמֶרֶת,shomeret
🕵️,Detective,Person,Profession,בַּלָּשׁ,balash,בַּלֶּשֶׁת,baleshet
👨‍⚕️,Male Doctor,Person,Profession,רוֹפֵא,rofe,,
👩‍⚕️,Female Doctor,Person,Profession,,,רוֹפְאָה,rofa
👨‍🌾,Male Farmer,Person,Profession,חַקְלַאי,chaklay,,
👩‍🌾,Female Farmer,Person,Profession,,,חַקְלָאִית,chaklait
👨‍🍳,Male Chef,Person,Profession,טַבָּח,tabach,,
👩‍🍳,Female Chef,Person,Profession,,,טַבָּחִית,tabachit
👨‍🎓,Male Student,Person,Profession,סְטוּדֶנְט,setudent,,
👩‍🎓,Female Student,Person,Profession,,,סְטוּדֶנְטִית,setudentit
👨‍🏫,Male Teacher,Person,Profession,מוֹרֶה,more,,
👩‍🏫,Female Teacher,Person,Profession,,,מוֹרָה,mora
👨‍🔬,Male Scientist,Person,Profession,מַדְעָן,madan,,
👩‍🔬,Female Scientist,Person,Profession,,,מַדְעָנִית,madanit
👨‍💻,Male Programmer,Person,Profession,מִתְכַּנֵּת,mitkanet,,
👩‍💻,Female Programmer,Person,Profession,,,מְתַכְנֶתֶת,metachnetet
👨‍🎤,Male Singer,Person,Profession,זַמָּר,zamar,,
👩‍🎤,Female Singer,Person,Profession,,,זַמֶּרֶת,zameret
👨‍🎨,Male Artist,Person,Profession,צַיָּר,tzayar,,
👩‍🎨,Female Artist,Person,Profession,,,צַיֶּרֶת,tzayeret
👨‍✈️,Male Pilot,Person,Profession,טַיָּס,tayas,,
👩‍✈️,Female Pilot,Person,Profession,,,טַיֶּסֶת,tayeset
👨‍🚀,Male Astronaut,Person,Profession,אַסְטְרוֹנָאוּט,astronaut,,
👩‍🚀,Female Astronaut,Person,Profession,,,אַסְטְרוֹנָאוּטִית,astronautit
👨‍🚒,Male Firefighter,Person,Profession,כַּבַּאי,kabay,,
👩‍🚒,Female Firefighter,Person,Profession,,,כַּבָּאִית,kabait
🧑‍⚖️,Judge,Person,Profession,שׁוֹפֵט,shofet,שׁוֹפֶטֶת,shofetet
👰,Bride,Person,Profession,,,כַּלָּה,kala
🤵,Groom,Person,Profession,חָתָן,chatan,,
🤴,Prince,Person,Profession,נָסִיךְ,nasich,,
👸,Princess,Person,Profession,,,נְסִיכָה,nesicha
🧙,Wizard,Person,Profession,קוֹסֵם,kosem,קוֹסֶמֶת,kosemet
🧚,Fairy,Person,Profession,,,פֵיָה,peya
👼,Angel,Person,Profession,מַלְאָךְ,malach,,
👨‍👩‍👧,Family,Person,Family,,,מִשְׁפָּחָה,mishpacha
👪,Family,Person,Family,,,מִשְׁפָּחָה,mishpacha
🧑‍🤝‍🧑,Friends,Person,Family,חָבֵר,chaver,חֲבֵרָה,chavera
👨‍👦,Father and Son,Person,Family,אַבָּא,aba,,
👩‍👧,Mother and Daughter,Person,Family,,,אִמָּא,ima
👕,T-Shirt,Object,Clothing,,,חֻלְצָה,chultza
👖,Jeans,Object,Clothing,מִכְנְסֵי גִ'ינְס,michnsey gi'yns,,
👗,Dress,Object,Clothing,,,שִׂמְלָה,simla
👘,Kimono,Object,Clothing,,,קִימוֹנוֹ,kimono
🧥,Coat,Object,Clothing,מְעִיל,meil,,
🧦,Socks,Object,Clothing,גַּרְבַּיִם,garbayim,,
🧤,Gloves,Object,Clothing,,,כְּפָפוֹת,kefafot
🧣,Scarf,Object,Clothing,צָעִיף,tzaif,,
🎩,Top Hat,Object,Clothing,,,מִגְבַּעַת,migbaat
👑,Crown,Object,Jewelry,כֶּתֶר,keter,,
👒,Sun Hat,Object,Clothing,כּוֹבַע,kova,,
🧢,Cap,Object,Clothing,כּוֹבַע מָצְחִיָּה,kova matzchiya,,
👞,Shoe,Object,Clothing,,,נַעַל,naal
👟,Sneaker,Object,Clothing,,,נַעֲלֵי סְפּוֹרְט,naaley seport
🥾,Boot,Object,Clothing,מַגָּף,magaf,,
👠,High Heel,Object,Clothing,,,נַעֲלֵי עָקֵב,naaley akev
👜,Handbag,Object,Clothing,תִּיק,tik,,
🎒,Backpack,Object,Clothing,תִּיק גַּב,tik gav,,
👓,Glasses,Object,Clothing,מִשְׁקָפַיִם,mishkafayim,,
🕶️,Sunglasses,Object,Clothing,מִשְׁקְפֵי שֶׁמֶשׁ,mishkfey shemesh,,
💍,Ring,Object,Jewelry,,,טַבַּעַת,tabaat
☂️,Umbrella,Nature,Weather,,,מִטְרִיָּה,mitriya
🚗,Car,Travel,Land Vehicle,,,מְכוֹנִית,mechonit
🚕,Taxi,Travel,Land Vehicle,,,מוֹנִית,monit
🚌,Bus,Travel,Land Vehicle,אוֹטוֹבּוּס,otobus,,
🏎️,Race Car,Travel,Land Vehicle,,,מְכוֹנִית מֵרוֹץ,mechonit merotz
🚓,Police Car,Travel,Land Vehicle,,,נַיֶּדֶת,nayedet
🚑,Ambulance,Travel,Land Vehicle,אַמְבּוּלַנְס,ambulans,,
🚒,Fire Truck,Travel,Land Vehicle,,,מְכוֹנִית כַּבָּאִים,mechonit kabaim
🚚,Truck,Travel,Land Vehicle,,,מַשָּׂאִית,masait
🚲,Bicycle,Travel,Land Vehicle,אוֹפַנַּיִם,ofanayim,,
🛴,Scooter,Travel,Land Vehicle,קוֹרְקִינֶט,korkinet,,
🏍️,Motorcycle,Travel,Land Vehicle,אוֹפַנּוֹעַ,ofanoa,,
🚂,Train,Travel,Rail,,,רַכֶּבֶת,rakevet
✈️,Airplane,Travel,Air,מָטוֹס,matos,,
🚁,Helicopter,Travel,Air,מַסּוֹק,masok,,
🚀,Rocket,Travel,Air,,,חֲלָלִית,chalalit
🛸,UFO,Travel,Air,"עָב""ם",atzam,,
⛵,Sailboat,Travel,Water,,,סִירַת מִפְרָשׂ,sirat mifras
🚤,Speedboat,Travel,Water,,,סִירַת מָנוֹעַ,sirat manoa
🚢,Ship,Travel,Water,,,אֳנִיָּה,oniya
🏠,House,Place,Building,בַּיִת,bayit,,
🏡,House with Garden,Place,Building,בַּיִת עִם גִּנָּה,bayit im gina,,
🏢,Office Building,Place,Building,בִּנְיָן מִשְׂרָדִים,binyan misradim,,
🏥,Hospital,Place,Building,בֵּית חוֹלִים,beit cholim,,
🏫,School,Place,Building,בֵּית סֵפֶר,beit sefer,,
🏪,Store,Place,Building,,,חֲנוּת,chanut
🏰,Castle,Place,Building,,,טִירָה,tira
🏛️,Classical Building,Place,Building,בִּנְיָן,binyan,,
⛺,Tent,Place,Building,אוֹהֶל,ohel,,
🏖️,Beach,Nature,Landscape,חוֹף,chof,,
🏔️,Mountain,Nature,Landscape,הַר,har,,
🌋,Volcano,Nature,Landscape,הַר גַּעַשׁ,har gaash,,
🏞️,Park,Nature,Landscape,פַּארְק,park,,
🏙️,City,Place,Landmark,,,עִיר,ir
🛏️,Bed,Object,Household,,,מִטָּה,mita
🛋️,Couch,Object,Household,,,סַפָּה,sapa
🚪,Door,Object,Household,,,דֶּלֶת,delet
🪟,Window,Object,Household,חַלּוֹן,chalon,,
🪑,Chair,Object,Household,כִּסֵּא,kise,,
🚽,Toilet,Object,Household,,,אַסְלָה,asla
🚿,Shower,Object,Household,,,מִקְלַחַת,miklachat
🛁,Bathtub,Object,Household,,,אַמְבָּטְיָה,ambatya
🧹,Broom,Object,Household,מַטְאֲטֵא,matate,,
🧺,Basket,Object,Household,סַל,sal,,
🧻,Toilet Paper,Object,Household,נְיַר טוּאָלֶט,neyar tualet,,
🧼,Soap,Object,Household,סַבּוֹן,sabon,,
🪥,Toothbrush,Object,Household,,,מִבְרֶשֶׁת שִׁנַּיִם,mivreshet shinayim
🧽,Sponge,Object,Household,סְפוֹג,sefog,,
🛒,Shopping Cart,Object,Household,,,עֲגָלַת קְנִיּוֹת,agalat keniyot
☎️,Telephone,Object,Tech,טֶלֶפוֹן,telefon,,
📱,Mobile Phone,Object,Tech,טֶלֶפוֹן נַיָּד,telefon nayad,,
💻,Laptop,Object,Tech,מַחְשֵׁב נַיָּד,machshev nayad,,
🖥️,Desktop Computer,Object,Tech,מַחְשֵׁב,machshev,,
🖨️,Printer,Object,Tech,,,מַדְפֶּסֶת,madpeset
⌨️,Keyboard,Object,Tech,,,מִקְלֶדֶת,mikledet
🖱️,Computer Mouse,Object,Tech,עַכְבָּר,achbar,,
📷,Camera,Object,Tech,,,מַצְלֵמָה,matzlema
📺,Television,Object,Tech,,,טֶלֶוִיזְיָה,televizya
📻,Radio,Object,Tech,רַדְיוֹ,radyo,,
🔦,Flashlight,Object,Light,פָּנָס,panas,,
💡,Light Bulb,Object,Light,,,נוּרָה,nura
🔋,Battery,Object,Tech,,,סוֹלְלָה,solla
🔌,Plug,Object,Tech,תֶּקַע,teka,,
🪞,Mirror,Object,Household,,,מַרְאָה,mara
🧸,Teddy Bear,Activity,Game,,,בֻּבַּת דּוֹב,bubat dov
🔨,Hammer,Object,Tool,פַּטִּישׁ,patish,,
🪓,Axe,Object,Weapon,גַּרְזֶן,garzen,,
🔧,Wrench,Object,Tool,מַפְתֵּחַ בְּרָגִים,mafteach beragim,,
🪛,Screwdriver,Object,Tool,מַבְרֵג,mavreg,,
🔩,Bolt,Object,Tool,בּוֹרֶג,boreg,,
⚙️,Gear,Object,Tool,גַּלְגַּל שִׁנַּיִם,galgal shinayim,,
🧰,Toolbox,Object,Tool,אַרְגַּז כֵּלִים,argaz kelim,,
🧲,Magnet,Object,Tool,מַגְנֵט,magnet,,
🔪,Knife,Object,Weapon,סַכִּין,sakin,,
🥄,Spoon,Object,Household,,,כַּף,kaf
🍴,Fork,Object,Clothing,מַזְלֵג,mazleg,,
✏️,Pencil,Object,Writing,עִפָּרוֹן,iparon,,
🖊️,Pen,Object,Writing,עֵט,et,,
🖌️,Paintbrush,Object,Writing,מִכְחוֹל,michchol,,
🖍️,Crayon,Object,Writing,צֶבַע,tzeva,,
📝,Note,Object,Writing,פֶּתֶק,petek,,
📚,Books,Object,Book,סְפָרִים,sefarim,,
📖,Open Book,Object,Book,סֵפֶר פָּתוּחַ,sefer patuach,,
📕,Closed Book,Object,Book,סֵפֶר,sefer,,
🔖,Bookmark,Object,Book,,,סִימָנִיָּה,simaniya
📰,Newspaper,Object,Paper,עִתּוֹן,iton,,
📅,Calendar,Time,Calendar,לוּחַ שָׁנָה,luach shana,,
📌,Pushpin,Object,Writing,נַעַץ,naatz,,
📎,Paperclip,Object,Writing,מְהַדֵּק,mehadek,,
📏,Ruler,Object,Writing,סַרְגֵּל,sargel,,
✂️,Scissors,Object,Writing,מִסְפָּרַיִם,misparayim,,
📋,Clipboard,Object,Writing,לוּחַ,luach,,
📁,File Folder,Object,Paper,,,תִּיקִיָּה,tikiya
🎵,Music Note,Activity,Music,,,תָּו,tav
🎶,Music Notes,Activity,Music,תָּוִים,tavim,,
🎤,Microphone,Activity,Music,מִיקְרוֹפוֹן,mikrofon,,
🎧,Headphones,Activity,Music,,,אָזְנִיּוֹת,azniyot
🎷,Saxophone,Activity,Music,סַקְסוֹפוֹן,saksofon,,
🎸,Guitar,Activity,Music,,,גִּיטָרָה,gitara
🎹,Piano,Activity,Music,,,פְּסַנְתֵּר,pesanter
🎺,Trumpet,Activity,Music,,,חֲצוֹצְרָה,chatzotzra
🎻,Violin,Activity,Music,כִּנּוֹר,kinor,,
🥁,Drum,Activity,Music,תּוֹף,tof,,
🪕,Banjo,Activity,Music,,,בַּנְג'וֹ,banjo
⚽,Soccer Ball,Activity,Sport,כַּדּוּרֶגֶל,kaduregel,,
🏀,Basketball,Activity,Sport,כַּדּוּרְסַל,kadursal,,
🏈,Football,Activity,Sport,כַּדּוּרְגֶל אָמֶרִיקָאִי,kadurgel amerikai,,
⚾,Baseball,Activity,Sport,בֵּיסְבּוֹל,beisbol,,
🎾,Tennis,Activity,Sport,טֶנִיס,tenis,,
🏐,Volleyball,Activity,Sport,כַּדּוּרְעָף,kaduraf,,
🏓,Ping Pong,Activity,Sport,טֶנִיס שֻׁלְחָן,tenis shulchan,,
🏸,Badminton,Activity,Sport,,,נוֹצִית,notzit
⛳,Golf,Activity,Sport,גּוֹלְף,golf,,
🎣,Fishing,Activity,Sport,דַּיִג,dayig,,
🎿,Skiing,Activity,Sport,סְקִי,seki,,
⛸️,Ice Skating,Activity,Sport,,,הַחְלָקָה עַל קֶרַח,hachlaka al kerach
🏊,Swimming,Activity,Sport,,,שְׂחִיָּה,sechiya
🏃,Running,Person,Person,רִיצָה,ritza,,
🚴,Cycling,Activity,Sport,,,רְכִיבָה עַל אוֹפַנַּיִם,rechiva al ofanayim
